Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
69eaff73-ca3a-4831-905b,1/1/2024,3:52 AM,Online,Credit Card,None,Standard,Advance,?7.00,London Euston,Birmingham New Street,1/2/2024,2:15 AM,3:35 AM,No Delay,Cancelled,Technical Issue,No
767314a0-f839-4607-a3d3,1/1/2024,5:09 AM,Station,Credit Card,None,First Class,Advance,?134.00,Manchester Piccadilly,London Euston,1/2/2024,3:30 AM,5:20 AM,5:31 AM,Delayed,Weather Conditions,No
382d60f9-9fe0-4920-97e4,1/1/2024,6:34 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/1/2024,8:00 AM,10:15 AM,10:39 AM,Delayed,Weather,No
711c08ba-eb61-44ba-821a,1/1/2024,9:30 AM,Station,Credit Card,None,First Class,Advance,?134.00,Manchester Piccadilly,London Euston,1/2/2024,8:00 AM,9:50 AM,10:08 AM,Delayed,Weather,No
a88f097f-bda3-4394-9c7d,1/1/2024,5:43 PM,Station,Debit Card,Disabled,First Class,Advance,?35.00,London Euston,Birmingham New Street,1/2/2024,4:00 PM,5:20 PM,No Delay,Cancelled,Technical Issue,No
8a66ead7-e381-4311-b667,1/2/2024,12:54 AM,Online,Credit Card,None,Standard,Off-Peak,?10.00,London Euston,Birmingham New Street,1/2/2024,2:15 AM,3:35 AM,No Delay,Cancelled,Technical Issue,Yes
c57dd321-4e2f-46c0-8cfb,1/2/2024,2:13 AM,Station,Credit Card,None,First Class,Off-Peak,?200.00,Manchester Piccadilly,London Euston,1/2/2024,3:30 AM,5:20 AM,5:31 AM,Delayed,Weather Conditions,No
d618c56f-3512-484d-9876,1/2/2024,3:33 AM,Station,Credit Card,None,Standard,Off-Peak,?12.00,London St Pancras,Birmingham New Street,1/2/2024,5:00 AM,6:20 AM,No Delay,Cancelled,Staffing,Yes
a6ab593b-474f-41a5-bab9,1/2/2024,5:07 AM,Station,Credit Card,None,Standard,Advance,?84.00,Manchester Piccadilly,London Euston,1/3/2024,3:30 AM,5:20 AM,5:38 AM,Delayed,Weather Conditions,No
eace2ada-5294-47e6-b4b8,1/2/2024,6:33 AM,Station,Credit Card,None,First Class,Anytime,?235.00,Liverpool Lime Street,London Euston,1/2/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Staff Shortage,No
b1c674dc-435d-4485-b654,1/2/2024,6:33 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/2/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Staff Shortage,No
0713aec5-3bd8-4086-a92f,1/2/2024,6:34 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/2/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Staff Shortage,No
40a90cc6-8d79-43d6-8929,1/2/2024,6:37 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/2/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Staff Shortage,No
a3102fe0-5d21-4e37-b5ee,1/2/2024,6:38 AM,Online,Credit Card,None,Standard,Anytime,?16.00,London St Pancras,Birmingham New Street,1/2/2024,8:00 AM,9:20 AM,No Delay,Cancelled,Signal Failure,No
63a8b7d1-22cb-4399-bb1d,1/2/2024,6:42 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/2/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Staff Shortage,No
abcbca79-681d-4c5e-8867,1/2/2024,7:49 AM,Online,Credit Card,Senior,Standard,Advance,?2.00,Manchester Piccadilly,Liverpool Lime Street,1/3/2024,6:15 AM,6:45 AM,No Delay,Cancelled,Signal Failure,Yes
b2bf9180-176a-466c-8661,1/2/2024,8:19 AM,Station,Contactless,Adult,Standard,Off-Peak,?35.00,London Kings Cross,York,1/2/2024,9:45 AM,11:35 AM,No Delay,Cancelled,Staff Shortage,No
bcd1f9fe-c858-466a-b316,1/2/2024,8:28 AM,Station,Contactless,Adult,Standard,Off-Peak,?35.00,London Kings Cross,York,1/2/2024,9:45 AM,11:35 AM,No Delay,Cancelled,Staff Shortage,Yes
ba9e6ec7-6c30-402d-9793,1/2/2024,9:31 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
100e0c8f-029e-43ad-9e66,1/2/2024,9:34 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
ef586c9b-fa89-47ac-ade6,1/2/2024,9:34 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
3ca22840-45b6-40d0-9778,1/2/2024,9:57 AM,Station,Credit Card,Disabled,Standard,Advance,?4.00,London Euston,Birmingham New Street,1/3/2024,8:15 AM,9:35 AM,No Delay,Cancelled,Signal Failure,No
4aa48622-9ce5-4a77-b891,1/2/2024,12:01 PM,Station,Credit Card,None,Standard,Off-Peak,?19.00,Reading,London Paddington,1/2/2024,1:30 PM,1:55 PM,No Delay,Cancelled,Staffing,Yes
fc2b6b34-a474-49a2-9d32,1/2/2024,2:23 PM,Online,Credit Card,Disabled,Standard,Advance,?8.00,London Paddington,Reading,1/3/2024,12:45 PM,1:45 PM,No Delay,Cancelled,Technical Issue,No
3536656e-691c-4537-85ee,1/2/2024,2:36 PM,Online,Contactless,None,Standard,Anytime,?13.00,London Euston,Birmingham New Street,1/2/2024,4:00 PM,5:20 PM,No Delay,Cancelled,Technical Issue,Yes
87ef37fc-ab43-4c69-b28a,1/2/2024,2:37 PM,Station,Credit Card,Adult,Standard,Anytime,?9.00,London Euston,Birmingham New Street,1/2/2024,4:00 PM,5:20 PM,No Delay,Cancelled,Technical Issue,No
9cf26300-61d7-4b51-bd89,1/2/2024,2:42 PM,Station,Debit Card,Disabled,Standard,Anytime,?9.00,London Euston,Birmingham New Street,1/2/2024,4:00 PM,5:20 PM,No Delay,Cancelled,Technical Issue,No
d290402d-f3bb-4abb-a8fc,1/2/2024,2:42 PM,Station,Debit Card,Disabled,Standard,Anytime,?9.00,London Euston,Birmingham New Street,1/2/2024,4:00 PM,5:20 PM,No Delay,Cancelled,Technical Issue,No
446d76dc-f015-46df-8540,1/2/2024,5:02 PM,Online,Credit Card,Disabled,Standard,Advance,?4.00,London Euston,Birmingham New Street,1/3/2024,3:30 PM,4:50 PM,No Delay,Cancelled,Weather Conditions,No
4f520c2d-76e6-4e0b-b222,1/2/2024,5:14 PM,Online,Credit Card,Disabled,Standard,Advance,?4.00,London Euston,Birmingham New Street,1/3/2024,3:30 PM,4:50 PM,No Delay,Cancelled,Weather Conditions,Yes
90b3ba92-9285-4996-950f,1/2/2024,7:34 PM,Online,Credit Card,Senior,Standard,Advance,?2.00,Manchester Piccadilly,Liverpool Lime Street,1/3/2024,6:45 PM,7:15 PM,No Delay,Cancelled,Staff Shortage,No
9e7c91a5-a468-46c5-b635,1/2/2024,7:43 PM,Station,Credit Card,Adult,Standard,Advance,?4.00,London Euston,Birmingham New Street,1/3/2024,5:45 PM,7:05 PM,No Delay,Cancelled,Technical Issue,No
3660bdd2-0f12-4cec-a1e5,1/2/2024,8:06 PM,Station,Credit Card,None,Standard,Off-Peak,?10.00,London Euston,Birmingham New Street,1/2/2024,9:30 PM,10:50 PM,No Delay,Cancelled,Staff Shortage,Yes
6c3f6019-5cc0-410e-9718,1/2/2024,8:19 PM,Online,Contactless,None,Standard,Advance,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/3/2024,6:45 PM,7:15 PM,No Delay,Cancelled,Staff Shortage,No
09ec498e-f883-4b1d-8613,1/2/2024,8:20 PM,Online,Contactless,None,Standard,Advance,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/3/2024,6:45 PM,7:15 PM,No Delay,Cancelled,Staff Shortage,No
534764eb-85fc-458b-a3b1,1/2/2024,8:23 PM,Online,Contactless,None,Standard,Advance,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/3/2024,6:45 PM,7:15 PM,No Delay,Cancelled,Staff Shortage,No
ba4c093e-bef3-41f3-b6ef,1/2/2024,10:55 PM,Station,Credit Card,Adult,First Class,Advance,?39.00,Birmingham New Street,London St Pancras,1/3/2024,12:15 AM,1:35 AM,No Delay,Cancelled,Staff Shortage,Yes
0567ec14-6dac-4644-959c,1/3/2024,2:10 AM,Station,Credit Card,None,Standard,Off-Peak,?11.00,York,Durham,1/3/2024,3:30 AM,4:20 AM,4:32 AM,Delayed,Weather Conditions,No
29d1c23e-7f88-4ad1-a0ce,1/3/2024,2:50 AM,Station,Contactless,Adult,Standard,Off-Peak,?7.00,London Euston,Birmingham New Street,1/3/2024,4:15 AM,5:35 AM,No Delay,Cancelled,Weather,No
f080cf8c-2492-4811-9c20,1/3/2024,2:51 AM,Station,Contactless,Adult,Standard,Off-Peak,?7.00,London Euston,Birmingham New Street,1/3/2024,4:15 AM,5:35 AM,No Delay,Cancelled,Weather,Yes
aea7454b-943b-49f3-962a,1/3/2024,3:18 AM,Online,Contactless,None,Standard,Advance,?8.00,York,Durham,1/4/2024,1:45 AM,2:35 AM,No Delay,Cancelled,Signal failure,Yes
3b161471-6e85-4432-8768,1/3/2024,4:56 AM,Online,Credit Card,Senior,Standard,Anytime,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/3/2024,6:15 AM,6:45 AM,No Delay,Cancelled,Signal Failure,No
6a7a0e6e-8988-4ee4-b041,1/3/2024,4:57 AM,Online,Credit Card,Senior,Standard,Anytime,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/3/2024,6:15 AM,6:45 AM,No Delay,Cancelled,Signal Failure,No
7c7abfc7-41c0-48f4-b9a1,1/3/2024,6:32 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
19550585-bfed-41a9-a8c8,1/3/2024,6:35 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
7e4ebb6e-e31b-4120-99c3,1/3/2024,6:38 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
5cc76758-2910-4f47-bdf8,1/3/2024,6:39 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
c5f4d284-970d-4bc4-9d4f,1/3/2024,8:05 AM,Online,Debit Card,None,Standard,Advance,?72.00,London Euston,Manchester Piccadilly,1/4/2024,6:30 AM,8:20 AM,No Delay,Cancelled,Weather,Yes
8baa90b2-dc44-4195-b751,1/3/2024,9:05 AM,Online,Credit Card,None,Standard,Advance,?35.00,London Kings Cross,York,1/4/2024,7:30 AM,9:20 AM,No Delay,Cancelled,Signal failure,No
eb2a01ab-7a86-4a27-a78d,1/3/2024,9:32 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,Yes
c2b0b7b8-2ceb-4d7f-ab33,1/3/2024,9:34 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
b78aabf0-1eb2-43c4-b305,1/3/2024,9:36 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
30d13533-f1be-497f-9932,1/3/2024,9:37 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
11607a1f-a974-4f47-93ae,1/3/2024,9:38 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
cd1f20ee-c1fc-4e89-ad84,1/3/2024,9:40 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
b4289b5b-fc3d-463c-998c,1/3/2024,9:44 AM,Station,Credit Card,None,First Class,Advance,?118.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
2fe42587-600c-4051-b6f9,1/3/2024,11:20 AM,Online,Credit Card,Disabled,First Class,Off-Peak,?27.00,London Paddington,Reading,1/3/2024,12:45 PM,1:45 PM,No Delay,Cancelled,Technical Issue,No
77cb52eb-4006-4e8e-9964,1/3/2024,11:23 AM,Online,Credit Card,Disabled,Standard,Off-Peak,?13.00,London Paddington,Reading,1/3/2024,12:45 PM,1:45 PM,No Delay,Cancelled,Technical Issue,Yes
95b7df12-e8c2-4e4a-bd24,1/3/2024,2:03 PM,Online,Credit Card,Disabled,Standard,Off-Peak,?7.00,London Euston,Birmingham New Street,1/3/2024,3:30 PM,4:50 PM,No Delay,Cancelled,Weather Conditions,No
ce789be5-fa37-42cf-bb1f,1/3/2024,4:07 PM,Station,Credit Card,Adult,Standard,Anytime,?9.00,London Euston,Birmingham New Street,1/3/2024,5:45 PM,7:05 PM,No Delay,Cancelled,Technical Issue,No
44efc69e-6175-42f6-9839,1/3/2024,4:14 PM,Station,Credit Card,Adult,Standard,Anytime,?9.00,London Euston,Birmingham New Street,1/3/2024,5:45 PM,7:05 PM,No Delay,Cancelled,Technical Issue,No
ba1c18fd-3841-4686-aa57,1/3/2024,6:12 PM,Online,Credit Card,Senior,Standard,Anytime,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/3/2024,6:45 PM,7:15 PM,No Delay,Cancelled,Staff Shortage,No
995ae839-d4b9-4f1a-9d9f,1/3/2024,7:33 PM,Station,Credit Card,None,Standard,Advance,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,5:45 PM,6:15 PM,7:09 PM,Delayed,Weather Conditions,No
b7f5bfac-7284-4a4b-8e2a,1/3/2024,7:42 PM,Station,Credit Card,None,Standard,Advance,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,5:45 PM,6:15 PM,7:09 PM,Delayed,Weather Conditions,No
