Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
767314a0-f839-4607-a3d3,1/1/2024,5:09 AM,Station,Credit Card,None,First Class,Advance,?134.00,Manchester Piccadilly,London Euston,1/2/2024,3:30 AM,5:20 AM,5:31 AM,Delayed,Weather Conditions,No
382d60f9-9fe0-4920-97e4,1/1/2024,6:34 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/1/2024,8:00 AM,10:15 AM,10:39 AM,Delayed,Weather,No
711c08ba-eb61-44ba-821a,1/1/2024,9:30 AM,Station,Credit Card,None,First Class,Advance,?134.00,Manchester Piccadilly,London Euston,1/2/2024,8:00 AM,9:50 AM,10:08 AM,Delayed,Weather,No
c57dd321-4e2f-46c0-8cfb,1/2/2024,2:13 AM,Station,Credit Card,None,First Class,Off-Peak,?200.00,Manchester Piccadilly,London Euston,1/2/2024,3:30 AM,5:20 AM,5:31 AM,Delayed,Weather Conditions,No
a6ab593b-474f-41a5-bab9,1/2/2024,5:07 AM,Station,Credit Card,None,Standard,Advance,?84.00,Manchester Piccadilly,London Euston,1/3/2024,3:30 AM,5:20 AM,5:38 AM,Delayed,Weather Conditions,No
ba9e6ec7-6c30-402d-9793,1/2/2024,9:31 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
100e0c8f-029e-43ad-9e66,1/2/2024,9:34 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
ef586c9b-fa89-47ac-ade6,1/2/2024,9:34 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
446d76dc-f015-46df-8540,1/2/2024,5:02 PM,Online,Credit Card,Disabled,Standard,Advance,?4.00,London Euston,Birmingham New Street,1/3/2024,3:30 PM,4:50 PM,No Delay,Cancelled,Weather Conditions,No
4f520c2d-76e6-4e0b-b222,1/2/2024,5:14 PM,Online,Credit Card,Disabled,Standard,Advance,?4.00,London Euston,Birmingham New Street,1/3/2024,3:30 PM,4:50 PM,No Delay,Cancelled,Weather Conditions,Yes
0567ec14-6dac-4644-959c,1/3/2024,2:10 AM,Station,Credit Card,None,Standard,Off-Peak,?11.00,York,Durham,1/3/2024,3:30 AM,4:20 AM,4:32 AM,Delayed,Weather Conditions,No
29d1c23e-7f88-4ad1-a0ce,1/3/2024,2:50 AM,Station,Contactless,Adult,Standard,Off-Peak,?7.00,London Euston,Birmingham New Street,1/3/2024,4:15 AM,5:35 AM,No Delay,Cancelled,Weather,No
f080cf8c-2492-4811-9c20,1/3/2024,2:51 AM,Station,Contactless,Adult,Standard,Off-Peak,?7.00,London Euston,Birmingham New Street,1/3/2024,4:15 AM,5:35 AM,No Delay,Cancelled,Weather,Yes
7c7abfc7-41c0-48f4-b9a1,1/3/2024,6:32 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
19550585-bfed-41a9-a8c8,1/3/2024,6:35 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
7e4ebb6e-e31b-4120-99c3,1/3/2024,6:38 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
5cc76758-2910-4f47-bdf8,1/3/2024,6:39 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/3/2024,8:00 AM,10:15 AM,11:09 AM,Delayed,Weather,No
c5f4d284-970d-4bc4-9d4f,1/3/2024,8:05 AM,Online,Debit Card,None,Standard,Advance,?72.00,London Euston,Manchester Piccadilly,1/4/2024,6:30 AM,8:20 AM,No Delay,Cancelled,Weather,Yes
eb2a01ab-7a86-4a27-a78d,1/3/2024,9:32 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,Yes
c2b0b7b8-2ceb-4d7f-ab33,1/3/2024,9:34 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
b78aabf0-1eb2-43c4-b305,1/3/2024,9:36 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
30d13533-f1be-497f-9932,1/3/2024,9:37 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
11607a1f-a974-4f47-93ae,1/3/2024,9:38 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
cd1f20ee-c1fc-4e89-ad84,1/3/2024,9:40 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
b4289b5b-fc3d-463c-998c,1/3/2024,9:44 AM,Station,Credit Card,None,First Class,Advance,?118.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
95b7df12-e8c2-4e4a-bd24,1/3/2024,2:03 PM,Online,Credit Card,Disabled,Standard,Off-Peak,?7.00,London Euston,Birmingham New Street,1/3/2024,3:30 PM,4:50 PM,No Delay,Cancelled,Weather Conditions,No
995ae839-d4b9-4f1a-9d9f,1/3/2024,7:33 PM,Station,Credit Card,None,Standard,Advance,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,5:45 PM,6:15 PM,7:09 PM,Delayed,Weather Conditions,No
b7f5bfac-7284-4a4b-8e2a,1/3/2024,7:42 PM,Station,Credit Card,None,Standard,Advance,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,5:45 PM,6:15 PM,7:09 PM,Delayed,Weather Conditions,No
5d482353-6973-4d6f-b34b,1/3/2024,7:44 PM,Station,Credit Card,None,Standard,Advance,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,5:45 PM,6:15 PM,7:09 PM,Delayed,Weather Conditions,No
cd94e4c0-c412-4f5c-80ff,1/4/2024,5:10 AM,Online,Debit Card,None,Standard,Anytime,?143.00,London Euston,Manchester Piccadilly,1/4/2024,6:30 AM,8:20 AM,No Delay,Cancelled,Weather,No
8ea439a1-675f-424b-8c7a,1/4/2024,6:33 AM,Station,Credit Card,None,First Class,Anytime,?235.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
092e5598-08de-42f5-b6b2,1/4/2024,6:35 AM,Station,Credit Card,None,First Class,Anytime,?267.00,Manchester Piccadilly,London Euston,1/4/2024,8:00 AM,9:50 AM,10:23 AM,Delayed,Weather,No
